Key,Category,Screen,Type,English,Hebrew,Russian
"calculate_credit_prolong_option_1","calculate","credit","dropdown_option","Up to one year","עד שנה","До года"
"calculate_credit_prolong_option_2","calculate","credit","dropdown_option","Up to two years","עד שנתיים","До двух лет"
"calculate_credit_prolong_option_3","calculate","credit","dropdown_option","Up to 3 years","עד 3 שנים","До 3 лет"
"calculate_credit_prolong_option_4","calculate","credit","dropdown_option","Up to 5 years","עד 5 שנים","До 5 лет"
"calculate_credit_prolong_option_5","calculate","credit","dropdown_option","Over 5 years","מעל 5 שנים","Более 5 лет"
"calculate_credit_prolong_option_6","calculate","credit","dropdown_option","Over 7 years","מעל 7 שנים","Более 7 лет"
"calculate_credit_prolong_option_7","calculate","credit","dropdown_option","Over 10 years","מעל 10 שנים","Более 10 лет"
"calculate_credit_target_option_1","calculate","credit","dropdown_option","Vehicle purchase","רכישת רכב","Покупка автомобиля"
"calculate_credit_target_option_2","calculate","credit","dropdown_option","Home renovation","שיפוץ בית","Ремонт дома"
"calculate_credit_target_option_3","calculate","credit","dropdown_option","Wedding and events","חתונה ואירועים","Свадьба и мероприятия"
"calculate_credit_target_option_4","calculate","credit","dropdown_option","Business investment","השקעה עסקית","Бизнес-инвестиции"
"calculate_credit_target_option_5","calculate","credit","dropdown_option","Improve future credit eligibility","שיפור זכאות אשראי עתידית","Улучшение будущей кредитоспособности"
"calculate_credit_target_option_6","calculate","credit","dropdown_option","Other","אחר","Другое"
"calculate_credit_why_option_1","calculate","credit","dropdown_option","Improve interest rate","שיפור הריבית","Улучшить процентную ставку"
"calculate_credit_why_option_2","calculate","credit","dropdown_option","Reduce credit amount","הפחתת סכום האשראי","Уменьшить сумму кредита"
"calculate_credit_why_option_3","calculate","credit","dropdown_option","Increase term to reduce payment","הגדלת התקופה כדי להפחית את התשלום","Увеличить срок, чтобы уменьшить платеж"
"calculate_credit_why_option_4","calculate","credit","dropdown_option","Increase payment to reduce term","הגדלת התשלום כדי לקצר את התקופה","Увеличить платеж, чтобы уменьшить срок"
"calculate_mortgage_citizenship_option_1","calculate","mortgage","dropdown_option","Israel","ישראל","Израиль"
