Key,English Text
"contacts_accounting_email","accounting@bankimonline.com"
"contacts_accounting_phone","03-1234576"
"contacts_cooperation_management_email","cooperation@bankimonline.com"
"contacts_cooperation_management_phone","03-1234574"
"contacts_credit_calc_email","credit@bankimonline.com"
"contacts_credit_calc_phone","03-1234571"
"contacts_customer_service_email","service@bankimonline.com"
"contacts_customer_service_phone","03-1234569"
"contacts_email","info@bankimonline.com"
"contacts_fax_phone","03-1234577"
"contacts_footer_phone","03-1234567"
"contacts_management_contacts_email","management@bankimonline.com"
"contacts_management_contacts_phone","03-1234575"
"contacts_mortgage_calc_email","mortgage@bankimonline.com"
"contacts_mortgage_calc_phone","03-1234570"
"contacts_phone","03-5371622"
"contacts_real_estate_buy_sell_email","realestate@bankimonline.com"
"contacts_real_estate_buy_sell_phone","03-1234572"
"contacts_real_estate_rent_email","rent@bankimonline.com"
"contacts_real_estate_rent_phone","03-1234573"
"contacts_secretary_email","secretary@bankimonline.com"
"contacts_secretary_phone","03-1234567"
"contacts_tech_support_email","support@bankimonline.com"
"contacts_tech_support_phone","03-1234568"
"cookie_text","**Cookie Usage Policy**

This website belongs to and is managed by Bankimonline Ltd. ("Bankimonline"). Bankimonline may update this notice at any time and publish changes on this page. You should visit this page periodically to review these updates.

**What are Cookie Files**

Cookie files are small text files stored on your device (computer, mobile phone, or any other device) when you visit websites. Cookies store information about your visit to the site and help us remember your preferences and improve your browsing experience.

Cookies are not harmful to your device and do not contain viruses. They serve various purposes such as remembering login details, saving items in shopping carts, displaying relevant advertisements, and analyzing website traffic.

**Types of Cookies We Use**

**Essential Cookies (Strictly Necessary)**
These cookies are essential for the proper functioning of the website. Without these cookies, some services on the site will not work properly. Essential cookies include:
• Security and user identification cookies
• Session cookies for site navigation
• Cookies for saving basic preferences

**Functional Cookies**
These cookies allow the website to remember choices you have made and provide enhanced, more personal features:
• Remembering your preferred site language
• Remembering display settings
• Saving information in mortgage calculators

**Performance and Analytics Cookies**
These cookies help us understand how visitors use the website by collecting information anonymously:
• Counting visitors and traffic sources
• Identifying the most popular pages
• Analyzing browsing patterns to improve the site

**Advertising and Marketing Cookies**
These cookies are used to display relevant advertisements to you and measure the effectiveness of advertising campaigns:
• Displaying personalized advertisements
• Preventing the same advertisement from being shown multiple times
• Measuring advertising effectiveness

**Your Consent to Cookie Usage**

In accordance with the General Data Protection Regulation (GDPR) and electronic privacy laws, we are required to obtain your explicit consent for the use of non-essential cookies.

Valid consent must be:
• Given freely without pressure
• Specific to each type of cookie
• Based on complete and understandable information
• Easily revocable

**Managing Cookie Preferences**

You can manage your cookie preferences in several ways:

Through our website settings:
• Click on "Cookie Settings" at the bottom of the page
• Choose the types of cookies you wish to approve
• Save your settings

Through your browser settings:
• Chrome: Click three dots (⋮) → Settings → Privacy and security → Cookies
• Firefox: Click three lines (☰) → Settings → Privacy and security
• Safari: Safari menu → Preferences → Privacy
• Edge: Three dots (...) → Settings → Privacy, search and services

**Contact**

For questions regarding the cookie policy or requests related to your personal data:

Email: privacy@bankimonline.com
Phone: 03-1234567
Address: 15 Bankers Street, Tel Aviv 6812345

Last updated: July 2025"
"cookie_title","Cookie Usage Policy"
"cooperation_email","cooperation@bankimonline.com"
"cooperation_phone","03-5371622"
"footer_email","info@bankimonline.com"
"footer_phone","+972 04-623-2280"
"franchise_pricing_income_value","₪30,000-50,000"
"franchise_pricing_investments_value","₪150,000"
"online_label","ONLINE"
"tenders_metrics_investment_value","₪ 90,000"
"_comment_refinance_step2","=== REFINANCE STEP 2 - Personal Details ==="
"refinance_step2_name_surname_ph","Enter first name and last name"
"refinance_step2_birth_date","Date of Birth"
"refinance_step2_family_status","Marital Status"
"refinance_step2_family_status_ph","Select marital status"
"refinance_step2_family_status_option_1","Single"
"refinance_step2_family_status_option_2","Married"
"refinance_step2_family_status_option_3","Divorced"
"refinance_step2_family_status_option_4","Widowed"
"refinance_step2_family_status_option_5","Common-law marriage"
"refinance_step2_family_status_option_6","Other"
"refinance_step2_children_count","Number of children under 18"
"refinance_step2_education","Education"
"refinance_step2_education_ph","Select education level"
